pair_id,url1_lang,google_lang1,url2_lang,google_lang2,title1,title2,translated1,translated2
1484084337_1484110209,en,en,en,en,Virginia man arrested in fatal DUI crash in West Virginia,Haiti’s leader marks independence day amid security concerns,Virginia man arrested in fatal DUI crash in West Virginia,Haiti’s leader marks independence day amid security concerns
1484396422_1483924666,en,en,en,en,Guyana: Three injured after car crashes into utility pole,Fire kills more than 30 animals at zoo in western Germany,Guyana: Three injured after car crashes into utility pole,Fire kills more than 30 animals at zoo in western Germany
1484698254_1483758694,en,en,en,en,Trump Brings In 2020 At Mar-a-Lago: ‘We’re Going To Have A Great Year’,"Trump says he does not expect war with Iran, ‘likes peace’",Trump Brings In 2020 At Mar-a-Lago: ‘We’re Going To Have A Great Year’,"Trump says he does not expect war with Iran, ‘likes peace’"
1576314516_1576455088,en,en,en,en,Zomato Buys Uber’s Food Delivery Business in India,"Indian Online Food Delivery Market to Hit $8 Billion by 2022: Google, BCG Report",Zomato Buys Uber’s Food Delivery Business in India,"Indian Online Food Delivery Market to Hit $8 Billion by 2022: Google, BCG Report"
1484036253_1483894099,en,en,en,en,"India approves third moon mission, months after landing failure",India targets new moon mission in 2020,"India approves third moon mission, months after landing failure",India targets new moon mission in 2020
1484189120_1484113136,en,en,en,en,Wiesenthal Center Calls for FBI Task Force to Deal with Anti-Semitism,Jewish Groups React to Monsey Stabbings,Wiesenthal Center Calls for FBI Task Force to Deal with Anti-Semitism,Jewish Groups React to Monsey Stabbings
1484034982_1483785560,en,en,en,en,Big cut on import duty on crude and refined palm oils; Industry says move to hurt domestic refiners,Delhi weather update: Delhiites shiver at 2.4 deg Celsius,Big cut on import duty on crude and refined palm oils; Industry says move to hurt domestic refiners,Delhi weather update: Delhiites shiver at 2.4 deg Celsius
1484188439_1484378177,en,en,en,en,The biggest business con of 2019: fleecing workers while bosses get rich,The left’s constant victimhood olympics is a gift to anti-Semites,The biggest business con of 2019: fleecing workers while bosses get rich,The left’s constant victimhood olympics is a gift to anti-Semites
1484011751_1483920335,en,en,en,en,"The Compatriots: The Brutal and Chaotic History of Russia's Exiles, Émigrés, and Agents Abroad: Soldatov, Andrei, Borogan, Irina: 9781541730168: Amazon.com: Books","The Red Web: The Kremlin's Wars on the Internet: Soldatov, Andrei, Borogan, Irina: 9781610399579: Amazon.com: Books","The Compatriots: The Brutal and Chaotic History of Russia's Exiles, Émigrés, and Agents Abroad: Soldatov, Andrei, Borogan, Irina: 9781541730168: Amazon.com: Books","The Red Web: The Kremlin's Wars on the Internet: Soldatov, Andrei, Borogan, Irina: 9781610399579: Amazon.com: Books"
1484035244_1483938857,en,en,en,en,"Had met PM, done whatever I could on Mahadayi issue: Goa Guv",Increase in train fare New Year gift from central government: Siddaramaiah,"Had met PM, done whatever I could on Mahadayi issue: Goa Guv",Increase in train fare New Year gift from central government: Siddaramaiah
